eps,n_clusters,has_nan,silhouette_score,n_nans,perc_nan
0.5350000000000004,4,True,0.31536009425063416,169,2.994860889597732
0.5360000000000003,4,True,0.31536009425063416,169,2.994860889597732
0.5370000000000004,4,True,0.31536009425063416,169,2.994860889597732
0.5380000000000003,4,True,0.31536009425063416,169,2.994860889597732
0.5390000000000004,4,True,0.31536009425063416,169,2.994860889597732
0.5400000000000003,4,True,0.31532891215272074,168,2.977139819245082
0.5410000000000004,4,True,0.31542760112569984,167,2.9594187488924333
0.5420000000000003,4,True,0.31542760112569984,167,2.9594187488924333
0.5430000000000004,4,True,0.31542760112569984,167,2.9594187488924333
0.5440000000000003,4,True,0.31542760112569984,167,2.9594187488924333
0.5450000000000004,4,True,0.31542760112569984,167,2.9594187488924333
0.5460000000000003,4,True,0.3157520754071558,166,2.941697678539784
0.5470000000000004,4,True,0.3157520754071558,166,2.941697678539784
0.5480000000000003,4,True,0.3157520754071558,166,2.941697678539784
0.5490000000000004,4,True,0.3158086321997362,165,2.923976608187134
0.5500000000000003,4,True,0.31632921006274284,164,2.906255537834485
0.5510000000000004,4,True,0.31632921006274284,164,2.906255537834485
0.5520000000000003,4,True,0.31677160165897084,163,2.888534467481836
0.5530000000000004,4,True,0.3168674951175448,162,2.8708133971291865
0.5540000000000003,4,True,0.3201911197738153,146,2.5872762714867976
0.5550000000000004,4,True,0.32054735803523493,145,2.5695552011341487
0.5560000000000003,4,True,0.32054735803523493,145,2.5695552011341487
0.5570000000000004,4,True,0.32117453352982905,139,2.4632287790182525
0.5580000000000003,4,True,0.32117453352982905,139,2.4632287790182525
0.5590000000000004,4,True,0.32117453352982905,139,2.4632287790182525
0.5600000000000003,4,True,0.32117453352982905,139,2.4632287790182525
0.5610000000000004,4,True,0.31364742943982854,113,2.002480949849371
0.5620000000000003,4,True,0.31364742943982854,113,2.002480949849371
0.5630000000000004,4,True,0.3142613430816816,112,1.9847598794967214
0.5640000000000003,4,True,0.3147270688244583,111,1.9670388091440723
0.5650000000000004,4,True,0.3147270688244583,111,1.9670388091440723
0.5660000000000003,4,True,0.3147270688244583,111,1.9670388091440723
0.5670000000000004,4,True,0.31431205174728416,106,1.8784334573808257
0.5680000000000003,4,True,0.31439048682510856,105,1.8607123870281765
0.5690000000000004,4,True,0.3148851833411645,104,1.8429913166755272
0.5700000000000003,4,True,0.3149088308050114,103,1.8252702463228778
0.5710000000000004,4,True,0.3149527342299396,101,1.789828105617579
0.5720000000000003,4,True,0.3149527342299396,101,1.789828105617579
0.5730000000000004,4,True,0.3151675392965139,100,1.77210703526493
0.5740000000000003,4,True,0.31169088676822326,92,1.6303384724437355
0.5750000000000004,4,True,0.31169088676822326,92,1.6303384724437355
0.5760000000000003,4,True,0.31169088676822326,92,1.6303384724437355
0.5770000000000004,4,True,0.3112687125023066,90,1.5948963317384368
0.5780000000000003,4,True,0.3112687125023066,90,1.5948963317384368
0.5790000000000004,4,True,0.3112687125023066,90,1.5948963317384368
