salario_media,variable,variable_booleano,vacaciones,teletrabajo,jornada_tipo,funciones,contrato_tipo,nivel_profesional,formacion_minima,personas_a_cargo,experiencia,num_tecnologias,num_habilidades,id
40.5,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,6.0,0.0,2.0,3.0,1.0,id_tec_177
31.5,0.0,0.0,22.0,0.0,2.0,4.0,0.0,3.0,6.0,0.0,3.0,5.0,2.0,id_tec_178
39.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,8.0,0.0,2.0,2.0,1.0,id_tec_179
33.0,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,8.0,0.0,2.0,1.0,3.0,id_tec_180
40.5,0.0,0.0,22.0,0.0,2.0,13.0,0.0,4.0,6.0,0.0,2.0,4.0,2.0,id_tec_181
34.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,5.0,1.0,id_tec_182
37.7,0.0,0.0,22.0,0.0,2.0,8.0,0.0,3.0,6.0,0.0,3.0,5.0,1.0,id_tec_183
30.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,2.0,1.0,id_tec_184
28.2,0.0,0.0,22.0,0.0,2.0,15.0,0.0,4.0,6.0,0.0,1.0,2.0,1.0,id_tec_185
36.6,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,2.0,0.0,2.0,1.0,2.0,id_tec_186
31.5,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,10.0,0.0,2.0,2.0,2.0,id_tec_187
40.2,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,5.0,1.0,id_tec_188
39.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,3.0,3.0,2.0,id_tec_189
39.6,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,3.0,id_tec_190
33.0,0.0,0.0,22.0,1.0,2.0,1.0,0.0,4.0,11.0,0.0,2.0,3.0,1.0,id_tec_191
30.0,0.0,0.0,22.0,0.0,2.0,1.0,0.0,4.0,10.0,0.0,2.0,1.0,3.0,id_tec_192
31.5,0.0,0.0,22.0,0.0,2.0,4.0,0.0,4.0,2.0,0.0,2.0,3.0,1.0,id_tec_193
40.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,3.0,6.0,0.0,2.0,6.0,1.0,id_tec_194
29.7,0.0,0.0,22.0,1.0,2.0,4.0,0.0,4.0,6.0,0.0,2.0,3.0,2.0,id_tec_195
37.8,0.0,0.0,22.0,1.0,2.0,5.0,0.0,4.0,7.0,0.0,2.0,3.0,1.0,id_tec_196
38.9,0.0,0.0,22.0,0.0,2.0,16.0,0.0,4.0,6.0,0.0,3.0,3.0,1.0,id_tec_197
40.8,0.0,0.0,22.0,0.0,2.0,12.0,0.0,4.0,4.4,0.0,3.0,5.0,2.0,id_tec_198
37.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,5.0,1.0,id_tec_199
37.5,0.0,0.0,22.0,0.0,2.0,25.0,0.0,4.0,3.6,0.0,2.0,1.0,1.0,id_tec_200
37.5,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,6.0,0.0,2.0,5.0,1.0,id_tec_201
30.0,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,8.0,0.0,1.0,1.0,1.0,id_tec_202
42.0,0.0,0.0,22.0,1.0,2.0,8.0,0.0,4.0,7.0,0.0,2.0,3.0,1.0,id_tec_203
34.5,0.0,0.0,22.0,1.0,2.0,2.0,0.0,4.0,11.0,0.0,2.0,1.0,1.0,id_tec_204
39.3,0.0,0.0,22.0,1.0,2.0,12.0,0.0,4.0,7.4,0.0,2.0,1.0,2.0,id_tec_205
43.2,0.0,0.0,22.0,0.0,2.0,8.0,0.0,4.0,4.0,0.0,2.0,2.0,1.0,id_tec_206
39.9,0.0,0.0,22.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,2.0,1.0,1.0,id_tec_207
