id,hab_id
id_man_578,7
id_man_581,7
id_man_590,7
id_man_631,7
id_man_635,7
id_man_637,7
id_man_639,7
id_man_641,7
id_man_652,7
id_man_655,7
id_man_657,7
id_man_665,7
id_man_671,7
id_man_672,7
id_man_675,7
id_man_676,7
id_man_677,7
id_man_679,7
id_man_693,7
id_man_695,7
id_man_697,7
id_man_702,7
id_man_703,7
id_man_704,7
id_man_713,7
id_man_724,7
id_man_726,7
id_man_733,7
id_man_738,7
id_man_740,7
id_man_741,7
id_man_744,7
id_man_751,7
id_man_758,7
id_man_766,7
id_man_767,7
id_man_768,7
id_man_771,7
id_man_774,7
id_man_776,7
id_man_780,7
id_man_781,7
id_man_791,7
id_man_796,7
id_man_801,7
id_man_807,7
id_man_823,7
id_man_824,7
id_man_825,7
id_man_828,7
id_man_830,7
id_man_835,7
id_man_845,7
id_man_858,7
id_man_859,7
id_man_864,7
id_man_869,7
id_man_871,7
id_man_877,7
id_man_880,7
id_man_881,7
id_man_888,7
id_man_890,7
id_man_894,7
id_man_901,7
id_man_904,7
id_man_906,7
id_man_907,7
id_man_917,7
id_man_919,7
id_man_921,7
id_man_922,7
id_man_926,7
id_man_930,7
id_man_932,7
id_man_934,7
id_man_936,7
id_man_938,7
id_man_943,7
id_man_946,7
id_man_949,7
id_man_956,7
id_man_974,7
id_man_978,7
id_man_988,7
id_man_989,7
id_man_992,7
id_man_1004,7
id_man_1006,7
id_man_1011,7
id_man_1026,7
id_man_1033,7
id_man_1034,7
id_man_1046,7
id_man_1050,7
id_man_1057,7
id_man_1068,7
id_man_1072,7
id_man_1074,7
id_man_1075,7
id_man_1079,7
id_man_1081,7
id_man_1083,7
id_man_1084,7
id_man_1091,7
id_man_1094,7
id_man_1096,7
id_man_1097,7
id_man_1098,7
id_man_1100,7
id_man_1101,7
id_man_1106,7
id_man_1113,7
id_man_1118,7
id_man_1120,7
id_man_1121,7
id_man_1123,7
id_man_1133,7
id_man_1136,7
id_man_1138,7
id_man_1140,7
id_man_1145,7
id_man_1148,7
id_man_1157,7
id_man_1161,7
id_man_1168,7
id_man_1169,7
id_man_1171,7
id_man_1181,7
id_man_1182,7
id_man_1183,7
id_man_1,8
id_man_2,8
id_man_3,8
id_man_4,8
id_man_8,8
id_man_11,8
id_man_20,8
id_man_22,8
id_man_28,8
id_man_30,8
id_man_32,8
id_man_33,8
id_man_34,8
id_man_36,8
id_man_38,8
id_man_39,8
id_man_40,8
id_man_44,8
id_man_45,8
id_man_46,8
id_man_50,8
id_man_53,8
id_man_56,8
id_man_57,8
id_man_58,8
id_man_68,8
id_man_72,8
id_man_74,8
id_man_75,8
id_man_76,8
id_man_77,8
id_man_78,8
id_man_79,8
id_man_80,8
id_man_89,8
id_man_90,8
id_man_91,8
id_man_93,8
id_man_95,8
id_man_96,8
id_man_99,8
id_man_100,8
id_man_101,8
id_man_105,8
id_man_108,8
id_man_109,8
id_man_111,8
id_man_112,8
id_man_113,8
id_man_116,8
id_man_117,8
id_man_119,8
id_man_121,8
id_man_122,8
id_man_123,8
id_man_125,8
id_man_126,8
id_man_128,8
id_man_129,8
id_man_130,8
id_man_136,8
id_man_138,8
id_man_140,8
id_man_142,8
id_man_143,8
id_man_145,8
id_man_147,8
id_man_152,8
id_man_153,8
id_man_154,8
id_man_157,8
id_man_158,8
id_man_159,8
id_man_165,8
id_man_166,8
id_man_167,8
id_man_169,8
id_man_172,8
id_man_173,8
id_man_175,8
id_man_179,8
id_man_180,8
id_man_184,8
id_man_185,8
id_man_186,8
id_man_187,8
id_man_191,8
id_man_194,8
id_man_196,8
id_man_197,8
id_man_200,8
id_man_204,8
id_man_205,8
id_man_206,8
id_man_208,8
id_man_209,8
id_man_210,8
id_man_211,8
id_man_212,8
id_man_214,8
id_man_216,8
id_man_217,8
id_man_220,8
id_man_222,8
id_man_223,8
id_man_225,8
id_man_228,8
id_man_229,8
id_man_234,8
id_man_235,8
id_man_236,8
id_man_237,8
id_man_238,8
id_man_239,8
id_man_242,8
id_man_247,8
id_man_249,8
id_man_252,8
id_man_254,8
id_man_255,8
id_man_256,8
id_man_257,8
id_man_260,8
id_man_262,8
id_man_263,8
id_man_264,8
id_man_266,8
id_man_267,8
id_man_268,8
id_man_270,8
id_man_273,8
id_man_276,8
id_man_280,8
id_man_284,8
id_man_287,8
id_man_288,8
id_man_290,8
id_man_292,8
id_man_293,8
id_man_295,8
id_man_299,8
id_man_301,8
id_man_305,8
id_man_307,8
id_man_310,8
id_man_316,8
id_man_319,8
id_man_320,8
id_man_322,8
id_man_323,8
id_man_326,8
id_man_327,8
id_man_329,8
id_man_331,8
id_man_332,8
id_man_338,8
id_man_340,8
id_man_341,8
id_man_345,8
id_man_353,8
id_man_358,8
id_man_361,8
id_man_364,8
id_man_366,8
id_man_367,8
id_man_369,8
id_man_370,8
id_man_372,8
id_man_374,8
id_man_375,8
id_man_378,8
id_man_379,8
id_man_380,8
id_man_383,8
id_man_384,8
id_man_386,8
id_man_387,8
id_man_389,8
id_man_390,8
id_man_392,8
id_man_396,8
id_man_399,8
id_man_407,8
id_man_412,8
id_man_413,8
id_man_414,8
id_man_416,8
id_man_420,8
id_man_421,8
id_man_423,8
id_man_426,8
id_man_428,8
id_man_434,8
id_man_437,8
id_man_439,8
id_man_440,8
id_man_443,8
id_man_445,8
id_man_446,8
id_man_449,8
id_man_450,8
id_man_451,8
id_man_452,8
id_man_454,8
id_man_457,8
id_man_458,8
id_man_461,8
id_man_462,8
id_man_465,8
id_man_466,8
id_man_467,8
id_man_470,8
id_man_472,8
id_man_477,8
id_man_479,8
id_man_483,8
id_man_486,8
id_man_487,8
id_man_488,8
id_man_489,8
id_man_492,8
id_man_494,8
id_man_495,8
id_man_497,8
id_man_498,8
id_man_499,8
id_man_500,8
id_man_502,8
id_man_505,8
id_man_508,8
id_man_510,8
id_man_511,8
id_man_512,8
id_man_515,8
id_man_516,8
id_man_518,8
id_man_522,8
id_man_523,8
id_man_525,8
id_man_526,8
id_man_528,8
id_man_533,8
id_man_534,8
id_man_537,8
id_man_541,8
id_man_545,8
id_man_546,8
id_man_548,8
id_man_549,8
id_man_551,8
id_man_553,8
id_man_554,8
id_man_556,8
id_man_560,8
id_man_562,8
id_man_563,8
id_man_564,8
id_man_565,8
id_man_566,8
id_man_568,8
id_man_569,8
id_man_571,8
id_man_574,8
id_man_576,8
id_man_578,8
id_man_585,8
id_man_587,8
id_man_588,8
id_man_590,8
id_man_593,8
id_man_630,8
id_man_633,8
id_man_636,8
id_man_638,8
id_man_639,8
id_man_644,8
id_man_645,8
id_man_648,8
id_man_650,8
id_man_651,8
id_man_655,8
id_man_656,8
id_man_658,8
id_man_663,8
id_man_665,8
id_man_668,8
id_man_672,8
id_man_673,8
id_man_674,8
id_man_676,8
id_man_680,8
id_man_681,8
id_man_686,8
id_man_688,8
id_man_689,8
id_man_690,8
id_man_693,8
id_man_695,8
id_man_696,8
id_man_697,8
id_man_698,8
id_man_708,8
id_man_712,8
id_man_720,8
id_man_721,8
id_man_723,8
id_man_724,8
id_man_725,8
id_man_727,8
id_man_728,8
id_man_730,8
id_man_736,8
id_man_738,8
id_man_739,8
id_man_740,8
id_man_742,8
id_man_743,8
id_man_748,8
id_man_752,8
id_man_753,8
id_man_754,8
id_man_755,8
id_man_757,8
