id,tec_id
id_man_731,18
id_man_758,18
id_man_760,18
id_man_769,18
id_man_802,18
id_man_823,18
id_man_843,18
id_man_869,18
id_man_871,18
id_man_890,18
id_man_901,18
id_man_930,18
id_man_1012,18
id_man_1079,18
id_man_1086,18
id_man_1099,18
id_man_1133,18
id_man_1150,18
id_man_1164,18
id_man_1176,18
id_man_1180,18
id_man_1195,18
id_man_5,19
id_man_5,20
id_man_34,20
id_man_39,20
id_man_41,20
id_man_46,20
id_man_65,20
id_man_69,20
id_man_97,20
id_man_98,20
id_man_103,20
id_man_115,20
id_man_119,20
id_man_129,20
id_man_150,20
id_man_169,20
id_man_192,20
id_man_203,20
id_man_208,20
id_man_218,20
id_man_226,20
id_man_274,20
id_man_297,20
id_man_310,20
id_man_314,20
id_man_325,20
id_man_328,20
id_man_329,20
id_man_339,20
id_man_347,20
id_man_349,20
id_man_361,20
id_man_376,20
id_man_434,20
id_man_435,20
id_man_442,20
id_man_454,20
id_man_457,20
id_man_465,20
id_man_482,20
id_man_502,20
id_man_522,20
id_man_527,20
id_man_533,20
id_man_540,20
id_man_546,20
id_man_556,20
id_man_565,20
id_man_573,20
id_man_592,20
id_man_600,20
id_man_604,20
id_man_629,20
id_man_653,20
id_man_655,20
id_man_666,20
id_man_694,20
id_man_717,20
id_man_724,20
id_man_725,20
id_man_747,20
id_man_752,20
id_man_755,20
id_man_760,20
id_man_767,20
id_man_782,20
id_man_794,20
id_man_799,20
id_man_802,20
id_man_804,20
id_man_821,20
id_man_824,20
id_man_836,20
id_man_864,20
id_man_865,20
id_man_869,20
id_man_871,20
id_man_872,20
id_man_874,20
id_man_885,20
id_man_933,20
id_man_934,20
id_man_937,20
id_man_941,20
id_man_953,20
id_man_954,20
id_man_959,20
id_man_968,20
id_man_977,20
id_man_999,20
id_man_1012,20
id_man_1027,20
id_man_1048,20
id_man_1053,20
id_man_1054,20
id_man_1072,20
id_man_1103,20
id_man_1137,20
id_man_1139,20
id_man_1147,20
id_man_1161,20
id_man_1164,20
id_man_1176,20
id_man_1180,20
id_man_1192,20
id_man_1195,20
id_man_1199,20
id_man_6,21
id_man_31,21
id_man_461,21
id_man_637,21
id_man_6,22
id_man_54,22
id_man_637,22
id_man_644,22
id_man_986,22
id_man_1002,22
id_man_7,23
id_man_13,23
id_man_14,23
id_man_17,23
id_man_18,23
id_man_19,23
id_man_24,23
id_man_28,23
id_man_29,23
id_man_30,23
id_man_32,23
id_man_34,23
id_man_35,23
id_man_36,23
id_man_37,23
id_man_38,23
id_man_42,23
id_man_43,23
id_man_48,23
id_man_50,23
id_man_51,23
id_man_56,23
id_man_57,23
id_man_58,23
id_man_62,23
id_man_63,23
id_man_64,23
id_man_68,23
id_man_72,23
id_man_74,23
id_man_77,23
id_man_79,23
id_man_90,23
id_man_98,23
id_man_99,23
id_man_102,23
id_man_105,23
id_man_114,23
id_man_116,23
id_man_117,23
id_man_124,23
id_man_135,23
id_man_142,23
id_man_162,23
id_man_164,23
id_man_165,23
id_man_169,23
id_man_170,23
id_man_173,23
id_man_177,23
id_man_179,23
id_man_185,23
id_man_188,23
id_man_194,23
id_man_196,23
id_man_199,23
id_man_209,23
id_man_211,23
id_man_223,23
id_man_227,23
id_man_228,23
id_man_232,23
id_man_235,23
id_man_243,23
id_man_245,23
id_man_246,23
id_man_247,23
id_man_248,23
id_man_257,23
id_man_269,23
id_man_271,23
id_man_273,23
id_man_276,23
id_man_286,23
id_man_290,23
id_man_294,23
id_man_295,23
id_man_300,23
id_man_304,23
id_man_308,23
id_man_311,23
id_man_312,23
id_man_315,23
id_man_318,23
id_man_319,23
id_man_320,23
id_man_323,23
id_man_324,23
id_man_326,23
id_man_327,23
id_man_329,23
id_man_331,23
id_man_345,23
id_man_351,23
id_man_358,23
id_man_360,23
id_man_368,23
id_man_374,23
id_man_379,23
id_man_381,23
id_man_384,23
id_man_386,23
id_man_392,23
id_man_394,23
id_man_395,23
id_man_400,23
id_man_404,23
id_man_407,23
id_man_410,23
id_man_413,23
id_man_414,23
id_man_417,23
id_man_419,23
id_man_424,23
id_man_431,23
id_man_436,23
id_man_439,23
id_man_441,23
id_man_442,23
id_man_447,23
id_man_449,23
id_man_450,23
id_man_452,23
id_man_453,23
id_man_455,23
id_man_458,23
id_man_460,23
id_man_462,23
id_man_466,23
id_man_472,23
id_man_476,23
id_man_486,23
id_man_487,23
id_man_490,23
id_man_493,23
id_man_494,23
id_man_495,23
id_man_498,23
id_man_499,23
id_man_504,23
id_man_506,23
id_man_507,23
id_man_509,23
id_man_511,23
id_man_513,23
id_man_518,23
id_man_520,23
id_man_524,23
id_man_526,23
id_man_532,23
id_man_535,23
id_man_536,23
id_man_537,23
id_man_538,23
id_man_540,23
id_man_542,23
id_man_545,23
id_man_546,23
id_man_553,23
id_man_558,23
id_man_561,23
id_man_562,23
id_man_570,23
id_man_572,23
id_man_574,23
id_man_578,23
id_man_581,23
id_man_583,23
id_man_586,23
id_man_587,23
id_man_589,23
id_man_597,23
id_man_599,23
id_man_600,23
id_man_633,23
id_man_636,23
id_man_639,23
id_man_647,23
id_man_656,23
id_man_662,23
id_man_668,23
id_man_671,23
id_man_680,23
id_man_681,23
id_man_705,23
id_man_710,23
id_man_711,23
id_man_713,23
id_man_726,23
id_man_729,23
id_man_730,23
id_man_731,23
id_man_735,23
id_man_736,23
id_man_739,23
id_man_750,23
id_man_751,23
id_man_753,23
id_man_757,23
id_man_764,23
id_man_765,23
id_man_768,23
id_man_773,23
id_man_775,23
id_man_787,23
id_man_788,23
id_man_790,23
id_man_800,23
